dia_no_laboral,x,y,dc,dmc,ffmc,isi,ndvi,elevacion,temperatura,humedad,viento,precipitaciones,superficie,dia_0,dia_1,dia_2,dia_3,dia_4,dia_5,dia_6,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9,mes_10,mes_11,mes_12,hora_0-8,hora_8-16,hora_16-23
0,26,35,44.479923,13.657989,86.80505,3.6837015,0.540899992,13.99965,26.55,75,12.5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,24,36,44.479923,13.657989,86.80505,3.6837015,0.394300014,8.742839813,24.8,83,6,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,31,40,30.081812,10.990948,86.73585,5.2334514,0.640999973,19.18975067,21.8,77,10,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,42,34,7.44247,3.9052541,57.890266,1.6193064,0.382099986,10.65173626,22.1,91.5,9.5,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,32,40,7.44247,3.9052541,57.890266,1.6193064,0.604900002,17.99553299,22.1,91.5,9.5,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,31,40,7.44247,3.9052541,57.890266,1.6193064,0.640999973,19.18975067,21.9,91,13,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,32,40,22.360628,6.599125,83.01819,4.0297456,0.604900002,17.99553299,23.4,74,24,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,39,41,22.360628,6.599125,83.01819,4.0297456,0.444799989,17.27954483,22.5,71,22,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,41,48,84.7967,13.161542,88.287346,11.574877,0.633300006,12.06166649,24.45,67.5,8.5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,46,46,84.7967,13.161542,88.287346,11.574877,0.564300001,18.98063469,26.7,56,11,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,10,18,22.52976,7.004245,83.42087,2.551946,0.696200013,12.3574419,21.55,67,6.5,0.4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,46,44,29.552475,9.361469,85.96932,4.645797,0.638100028,17.41037941,24.2,73.5,9.5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,51,47,45.72546,13.804427,86.80631,3.6843605,0.720600009,11.16514397,25.7,83,15,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,34,31,44.479923,13.657989,86.80505,3.6837015,0.557600021,12.5392952,28.9,67,19,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,31,40,41.40625,9.6695175,75.069855,1.7914311,0.652400017,19.18975067,24.5,77,26,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,25,32,41.40625,9.6695175,75.069855,1.7914311,0.469999999,14.78122807,24.3,89,13,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,31,40,56.12544,15.008098,88.16141,6.940873,0.652400017,19.18975067,21.6,74,10,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,24,36,56.12544,15.008098,88.16141,6.940873,0.394300014,8.742839813,21.6,74,10,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,24,36,56.12544,15.008098,88.16141,6.940873,0.394300014,8.742839813,21.6,74,10,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,24,36,56.12544,15.008098,88.16141,6.940873,0.394300014,8.742839813,17.5,90,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,30,37,56.12544,15.008098,88.16141,6.940873,0.512499988,15.70960236,21.3,64,20,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,25,37,63.097584,17.48458,88.375435,20.93313,0.583800018,7.949850082,23,45,24,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,47,44,84.3751,24.909464,89.09856,11.013336,0.638100028,16.75934601,18.6,58,13,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,49,45,84.3751,24.909464,89.09856,11.013336,0.710500002,16.64574242,19.9,52,13,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,49,45,84.3751,24.909464,89.09856,11.013336,0.710500002,16.64574242,20,56,19,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,49,45,84.3751,24.909464,89.09856,11.013336,0.710500002,16.64574242,20,56,19,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,38,42,94.18806,28.577814,88.745964,6.0210266,0.60860002,18.63031769,18.3,83,9,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,25,37,94.18806,28.577814,88.745964,6.0210266,0.583800018,7.949850082,21.7,71,17,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,38,42,116.5064,29.969845,85.12113,4.0138803,0.580799997,18.63031769,17.5,82,11.5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,35,44,129.078,34.691162,86.091705,10.937124,0.672800004,17.07294846,16.1,67.5,24,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,47,48,134.29395,36.0409,86.13977,10.155325,0.765900016,18,17.95,76,18.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,25,42,143.57771,38.14855,87.185356,7.7903438,0.629899979,3.071280718,15.75,65.5,14,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,16,19,152.75314,41.606087,87.19787,7.5702295,0.773899972,26.15743256,17.4,73.5,15,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,33,34,155.40204,42.039883,87.492256,5.232954,0.452199996,13.26491451,26.2,55,7,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,16,19,158.90387,43.691845,87.485466,5.227883,0.773899972,26.15743256,25,46,11,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,35,43,162.85765,45.241707,87.5408,5.7843695,0.595399976,16.95433807,23.6,74,9.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,39,37,168.25555,46.16794,88.084145,5.4362254,0.420399994,18.93329048,28.8,60,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,24,36,174.91196,48.373272,88.132866,10.972075,0.445199996,8.742839813,25.75,72,11.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,32,40,113.3418,19.21558,60.740456,2.7835836,0.578000009,17.99553299,16.9,70.5,22,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,24,36,118.48304,21.0358,81.38828,3.5276966,0.445199996,8.742839813,15.7,75,9,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,24,36,123.72132,23.049612,86.894775,5.7856536,0.445199996,8.742839813,18.5,57,13,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,24,24,129.14754,24.521702,86.94311,5.5492177,0.745700002,18.90781212,17,84,6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
